id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_crowley_generation_user,crowley.generation.user,model_crowley_generation,group_crowley_user,1,1,1,0
access_crowley_generation_manager,crowley.generation.manager,model_crowley_generation,group_crowley_manager,1,1,1,1
access_crowley_attempt_user,crowley.attempt.user,model_crowley_attempt,group_crowley_user,1,1,1,0
access_crowley_attempt_manager,crowley.attempt.manager,model_crowley_attempt,group_crowley_manager,1,1,1,1
access_crowley_import_wizard_manager,crowley.import.wizard.manager,model_crowley_import_wizard,group_crowley_manager,1,1,1,0
access_crowley_enrichment_user,crowley.enrichment.user,model_crowley_enrichment,group_crowley_user,1,1,1,0
access_crowley_enrichment_manager,crowley.enrichment.manager,model_crowley_enrichment,group_crowley_manager,1,1,1,1
access_crowley_video_review_user,crowley.video.review.user,model_crowley_video_review,group_crowley_user,1,1,1,0
access_crowley_video_review_manager,crowley.video.review.manager,model_crowley_video_review,group_crowley_manager,1,1,1,1
access_crowley_review_override_wizard_manager,crowley.review.override.wizard.manager,model_crowley_review_override_wizard,group_crowley_manager,1,1,1,1
access_crowley_sheet_row_user,crowley.sequence.sheet.row.user,model_crowley_sequence_sheet_row,group_crowley_user,1,0,0,0
access_crowley_sheet_row_manager,crowley.sequence.sheet.row.manager,model_crowley_sequence_sheet_row,group_crowley_manager,1,1,1,1
access_crowley_sheet_export_wizard_manager,crowley.sequence.sheet.export.wizard.manager,model_crowley_sequence_sheet_export_wizard,group_crowley_manager,1,1,1,1
