id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_employee_allocation_request_user,employee.allocation.request.user,model_employee_allocation_request,base.group_user,1,1,1,1
access_employee_allocation_request_manager,employee.allocation.request.manager,model_employee_allocation_request,hr.group_hr_manager,1,1,1,1
access_employee_allocation_request_admin,employee.allocation.request.admin,model_employee_allocation_request,base.group_system,1,1,1,1
access_hr_employee_offboarding_reasons,hr.employee.offboarding.reasons,model_hr_employee_offboarding_reasons,base.group_system,1,1,1,1
access_hr_employee_assignment_history_user,hr.employee.assignment.history.user,model_hr_employee_assignment_history,base.group_user,1,0,0,0
access_hr_employee_assignment_history_manager,hr.employee.assignment.history.manager,model_hr_employee_assignment_history,hr.group_hr_manager,1,1,1,1
access_hr_employee_assignment_history_admin,hr.employee.assignment.history.admin,model_hr_employee_assignment_history,base.group_system,1,1,1,1
access_employee_college_public,employee.college.public,model_employee_college,base.group_public,1,0,0,0
access_employee_college_user,employee.college.user,model_employee_college,base.group_user,1,0,0,0
access_employee_college_hr_manager,employee.college.hr_manager,model_employee_college,hr.group_hr_manager,1,1,1,1
access_employee_import_wizard_user,employee.import.wizard.user,model_employee_import_wizard,hr.group_hr_user,1,1,1,1
access_employee_import_wizard_manager,employee.import.wizard.manager,model_employee_import_wizard,hr.group_hr_manager,1,1,1,1
access_employee_import_line_user,employee.import.line.user,model_employee_import_line,hr.group_hr_user,1,1,1,1
access_employee_import_line_manager,employee.import.line.manager,model_employee_import_line,hr.group_hr_manager,1,1,1,1
