id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_ethara_project_user,ethara.project all users,model_ethara_project,base.group_user,1,1,1,1
access_ethara_project_attachment_user,ethara.project.attachment all users,model_ethara_project_attachment,base.group_user,1,1,1,1
access_ethara_project_ai_model_user,ethara.project.ai.model all users,model_ethara_project_ai_model,base.group_user,1,1,1,1
access_ethara_project_infra_type_user,ethara.project.infra.type all users,model_ethara_project_infra_type,base.group_user,1,1,1,1
access_ethara_project_subscription_user,ethara.project.subscription all users,model_ethara_project_subscription,base.group_user,1,1,1,1
access_ethara_project_aws_credentials_user,ethara.project.aws.credentials all users,model_ethara_project_aws_credentials,base.group_user,1,1,1,0
access_ethara_project_aws_credentials_admin,ethara.project.aws.credentials admin,model_ethara_project_aws_credentials,base.group_system,1,1,1,1
access_ethara_project_budget_user,ethara.project.budget all users,model_ethara_project_budget,base.group_user,1,1,1,1
access_ethara_project_budget_model_line_user,ethara.project.budget.model.line all users,model_ethara_project_budget_model_line,base.group_user,1,1,1,1
access_ethara_project_budget_infra_line_user,ethara.project.budget.infra.line all users,model_ethara_project_budget_infra_line,base.group_user,1,1,1,1
access_ethara_project_budget_subscription_line_user,ethara.project.budget.subscription.line all users,model_ethara_project_budget_subscription_line,base.group_user,1,1,1,1
access_ethara_project_budget_tag_line_user,ethara.project.budget.tag.line all users,model_ethara_project_budget_tag_line,base.group_user,1,1,1,1
access_ethara_project_cost_line_user,ethara.project.cost.line all users,model_ethara_project_cost_line,base.group_user,1,1,1,1
access_ethara_project_cost_fetch_log_user,ethara.project.cost.fetch.log all users,model_ethara_project_cost_fetch_log,base.group_user,1,1,1,1
access_ethara_project_phase_user,ethara.project.phase all users,model_ethara_project_phase,base.group_user,1,1,1,1
access_ethara_project_phase_model_line_user,ethara.project.phase.model.line all users,model_ethara_project_phase_model_line,base.group_user,1,1,1,1
access_ethara_project_phase_infra_line_user,ethara.project.phase.infra.line all users,model_ethara_project_phase_infra_line,base.group_user,1,1,1,1
access_ethara_project_phase_subscription_line_user,ethara.project.phase.subscription.line all users,model_ethara_project_phase_subscription_line,base.group_user,1,1,1,1
access_ethara_project_phase_topup_reason_user,ethara.project.phase.topup.reason all users,model_ethara_project_phase_topup_reason,base.group_user,1,1,1,1
access_ethara_project_phase_request_user,ethara.project.phase.request all users,model_ethara_project_phase_request,base.group_user,1,1,1,1
access_ethara_project_phase_request_model_line_user,ethara.project.phase.request.model.line all users,model_ethara_project_phase_request_model_line,base.group_user,1,1,1,1
access_ethara_project_phase_request_infra_line_user,ethara.project.phase.request.infra.line all users,model_ethara_project_phase_request_infra_line,base.group_user,1,1,1,1
access_ethara_project_phase_request_subscription_line_user,ethara.project.phase.request.subscription.line all users,model_ethara_project_phase_request_subscription_line,base.group_user,1,1,1,1
access_ethara_project_phase_request_review_wizard_user,ethara.project.phase.request.review.wizard all users,model_ethara_project_phase_request_review_wizard,base.group_user,1,1,1,1
access_ethara_project_budget_topup_user,ethara.project.budget.topup all users,model_ethara_project_budget_topup,base.group_user,1,1,1,1
access_ethara_project_budget_topup_reject_wizard_user,ethara.project.budget.topup.reject.wizard all users,model_ethara_project_budget_topup_reject_wizard,base.group_user,1,1,1,1
access_ethara_project_aws_pricing_item_user,ethara.project.aws.pricing.item all users,model_ethara_project_aws_pricing_item,base.group_user,1,1,1,1
access_ethara_project_aws_pricing_sku_user,ethara.project.aws.pricing.sku all users,model_ethara_project_aws_pricing_sku,base.group_user,1,1,1,1
access_ethara_project_aws_pricing_sync_log_user,ethara.project.aws.pricing.sync.log all users,model_ethara_project_aws_pricing_sync_log,base.group_user,1,1,1,1
access_ethara_project_aws_ebs_pricing_user,ethara.project.aws.ebs.pricing all users,model_ethara_project_aws_ebs_pricing,base.group_user,1,1,1,1
access_ethara_project_budget_monthly_cost_user,ethara.project.budget.monthly.cost all users,model_ethara_project_budget_monthly_cost,base.group_user,1,1,1,1
access_ethara_project_phase_daily_task_user,ethara.project.phase.daily.task all users,model_ethara_project_phase_daily_task,base.group_user,1,1,1,1
access_ethara_project_phase_daily_task_model_user,ethara.project.phase.daily.task.model all users,model_ethara_project_phase_daily_task_model,base.group_user,1,1,1,1
access_ethara_project_phase_daily_task_wizard_user,ethara.project.phase.daily.task.wizard all users,model_ethara_project_phase_daily_task_wizard,base.group_user,1,1,1,1
access_ethara_project_phase_connected_record_user,ethara.project.phase.connected.record all users,model_ethara_project_phase_connected_record,base.group_user,1,1,1,1
access_ethara_project_phase_feedback_user,ethara.project.phase.feedback all users,model_ethara_project_phase_feedback,base.group_user,1,1,1,1
access_ethara_project_phase_info_link_user,ethara.project.phase.info.link all users,model_ethara_project_phase_info_link,base.group_user,1,1,1,1
access_ethara_project_phase_request_wizard_user,ethara.project.phase.request.wizard all users,model_ethara_project_phase_request_wizard,base.group_user,1,1,1,1
access_ethara_project_phase_request_wizard_model_line_user,ethara.project.phase.request.wizard.model.line all users,model_ethara_project_phase_request_wizard_model_line,base.group_user,1,1,1,1
access_ethara_project_phase_request_wizard_infra_line_user,ethara.project.phase.request.wizard.infra.line all users,model_ethara_project_phase_request_wizard_infra_line,base.group_user,1,1,1,1
access_ethara_project_phase_request_wizard_subscription_line_user,ethara.project.phase.request.wizard.subscription.line all users,model_ethara_project_phase_request_wizard_subscription_line,base.group_user,1,1,1,1
