id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_template_user,applicant.assessment.template.user,model_etp_applicant_assessment_template,etp_applicant_assessment.group_applicant_assessment_user,1,1,1,0
access_template_manager,applicant.assessment.template.manager,model_etp_applicant_assessment_template,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_template_question_user,applicant.assessment.template.question.user,model_etp_applicant_assessment_template_question,etp_applicant_assessment.group_applicant_assessment_user,1,1,1,0
access_template_question_manager,applicant.assessment.template.question.manager,model_etp_applicant_assessment_template_question,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_template_option_user,applicant.assessment.template.option.user,model_etp_applicant_assessment_template_option,etp_applicant_assessment.group_applicant_assessment_user,1,1,1,0
access_template_option_manager,applicant.assessment.template.option.manager,model_etp_applicant_assessment_template_option,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_assessment_user,applicant.assessment.user,model_etp_applicant_assessment,etp_applicant_assessment.group_applicant_assessment_user,1,1,1,0
access_assessment_manager,applicant.assessment.manager,model_etp_applicant_assessment,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_assessment_question_user,applicant.assessment.question.user,model_etp_applicant_assessment_question,etp_applicant_assessment.group_applicant_assessment_user,1,1,1,0
access_assessment_question_manager,applicant.assessment.question.manager,model_etp_applicant_assessment_question,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_assessment_option_user,applicant.assessment.option.user,model_etp_applicant_assessment_option,etp_applicant_assessment.group_applicant_assessment_user,1,1,1,0
access_assessment_option_manager,applicant.assessment.option.manager,model_etp_applicant_assessment_option,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_assessment_answer_user,applicant.assessment.answer.user,model_etp_applicant_assessment_answer,etp_applicant_assessment.group_applicant_assessment_user,1,1,1,0
access_assessment_answer_manager,applicant.assessment.answer.manager,model_etp_applicant_assessment_answer,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_assessment_warning_user,applicant.assessment.warning.user,model_etp_applicant_assessment_warning,etp_applicant_assessment.group_applicant_assessment_user,1,1,0,0
access_assessment_warning_manager,applicant.assessment.warning.manager,model_etp_applicant_assessment_warning,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_assessment_snapshot_user,applicant.assessment.snapshot.user,model_etp_applicant_assessment_snapshot,etp_applicant_assessment.group_applicant_assessment_user,1,1,0,0
access_assessment_snapshot_manager,applicant.assessment.snapshot.manager,model_etp_applicant_assessment_snapshot,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_template_section_user,applicant.assessment.template.section.user,model_etp_applicant_assessment_template_section,etp_applicant_assessment.group_applicant_assessment_user,1,1,1,0
access_template_section_manager,applicant.assessment.template.section.manager,model_etp_applicant_assessment_template_section,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_assessment_section_user,applicant.assessment.section.user,model_etp_applicant_assessment_section,etp_applicant_assessment.group_applicant_assessment_user,1,1,1,0
access_assessment_section_manager,applicant.assessment.section.manager,model_etp_applicant_assessment_section,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_question_bank_user,applicant.assessment.question.bank.user,model_etp_applicant_assessment_question_bank,etp_applicant_assessment.group_applicant_assessment_user,1,0,0,0
access_question_bank_manager,applicant.assessment.question.bank.manager,model_etp_applicant_assessment_question_bank,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_question_bank_option_user,applicant.assessment.question.bank.option.user,model_etp_applicant_assessment_question_bank_option,etp_applicant_assessment.group_applicant_assessment_user,1,0,0,0
access_question_bank_option_manager,applicant.assessment.question.bank.option.manager,model_etp_applicant_assessment_question_bank_option,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
access_bank_picker_user,applicant.assessment.bank.picker.user,model_etp_applicant_assessment_bank_picker,etp_applicant_assessment.group_applicant_assessment_user,1,1,1,1
access_bank_picker_manager,applicant.assessment.bank.picker.manager,model_etp_applicant_assessment_bank_picker,etp_applicant_assessment.group_applicant_assessment_manager,1,1,1,1
