"name","dimension_id/id","sequence"
"Response A","Instruction Following","1"
"Response B","Instruction Following","2"
"Both Good","Instruction Following","3"
"Both Bad","Instruction Following","4"
"Response A","Visual Quality","1"
"Response B","Visual Quality","2"
"Both Good","Visual Quality","3"
"Both Bad","Visual Quality","4"
"Response A","Less AI Generated","1"
"Response B","Less AI Generated","2"
"Both Good","Less AI Generated","3"
"Both Bad","Less AI Generated","4"
"Response A","Overall Quality","1"
"Response B","Overall Quality","2"
"Both Good","Overall Quality","3"
"Both Bad","Overall Quality","4"
