id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_etp_assessment_category_evaluator,etp.assessment.category.evaluator,model_etp_assessment_category,etp_assessment.group_assessment_evaluator,1,0,0,0
access_etp_assessment_category_manager,etp.assessment.category.manager,model_etp_assessment_category,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_dimension_evaluator,etp.assessment.dimension.evaluator,model_etp_assessment_dimension,etp_assessment.group_assessment_evaluator,1,0,0,0
access_etp_assessment_dimension_manager,etp.assessment.dimension.manager,model_etp_assessment_dimension,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_dimension_option_evaluator,etp.assessment.dimension.option.evaluator,model_etp_assessment_dimension_option,etp_assessment.group_assessment_evaluator,1,0,0,0
access_etp_assessment_dimension_option_manager,etp.assessment.dimension.option.manager,model_etp_assessment_dimension_option,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_question_evaluator,etp.assessment.question.evaluator,model_etp_assessment_question,etp_assessment.group_assessment_evaluator,1,0,0,0
access_etp_assessment_question_manager,etp.assessment.question.manager,model_etp_assessment_question,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_evaluator,etp.assessment.evaluator,model_etp_assessment,etp_assessment.group_assessment_evaluator,1,0,0,0
access_etp_assessment_manager,etp.assessment.manager,model_etp_assessment,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_evaluator_assignment_evaluator,etp.assessment.evaluator.assignment.evaluator,model_etp_assessment_evaluator,etp_assessment.group_assessment_evaluator,1,1,0,0
access_etp_assessment_evaluator_assignment_manager,etp.assessment.evaluator.assignment.manager,model_etp_assessment_evaluator,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_response_evaluator,etp.assessment.response.evaluator,model_etp_assessment_response,etp_assessment.group_assessment_evaluator,1,1,1,0
access_etp_assessment_response_manager,etp.assessment.response.manager,model_etp_assessment_response,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_response_line_evaluator,etp.assessment.response.line.evaluator,model_etp_assessment_response_line,etp_assessment.group_assessment_evaluator,1,1,1,0
access_etp_assessment_response_line_manager,etp.assessment.response.line.manager,model_etp_assessment_response_line,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_question_dimension_evaluator,etp.assessment.question.dimension.evaluator,model_etp_assessment_question_dimension,etp_assessment.group_assessment_evaluator,1,0,0,0
access_etp_assessment_question_dimension_manager,etp.assessment.question.dimension.manager,model_etp_assessment_question_dimension,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_question_dimension_option_evaluator,etp.assessment.question.dimension.option.evaluator,model_etp_assessment_question_dimension_option,etp_assessment.group_assessment_evaluator,1,0,0,0
access_etp_assessment_question_dimension_option_manager,etp.assessment.question.dimension.option.manager,model_etp_assessment_question_dimension_option,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_prompt_manager,etp.assessment.prompt.manager,model_etp_assessment_prompt,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_prompt_skill_manager,etp.assessment.prompt.skill.manager,model_etp_assessment_prompt_skill,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_prompt_question_manager,etp.assessment.prompt.question.manager,model_etp_assessment_prompt_question,etp_assessment.group_assessment_manager,1,1,1,1
access_etp_assessment_prompt_resource_manager,etp.assessment.prompt.resource.manager,model_etp_assessment_prompt_resource,etp_assessment.group_assessment_manager,1,1,1,1
