id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_tag_evaluator,etp.assessment.pro.tag.evaluator,model_etp_assessment_pro_tag,etp_assessment_pro.group_assessment_evaluator,1,0,0,0
access_tag_manager,etp.assessment.pro.tag.manager,model_etp_assessment_pro_tag,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_question_manager,etp.assessment.pro.question.manager,model_etp_assessment_pro_question,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_question_image_evaluator,etp.assessment.pro.question.image.evaluator,model_etp_assessment_pro_question_image,etp_assessment_pro.group_assessment_evaluator,1,0,0,0
access_question_image_manager,etp.assessment.pro.question.image.manager,model_etp_assessment_pro_question_image,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_question_image_portal,etp.assessment.pro.question.image.portal,model_etp_assessment_pro_question_image,base.group_portal,1,0,0,0
access_question_video_evaluator,etp.assessment.pro.question.video.evaluator,model_etp_assessment_pro_question_video,etp_assessment_pro.group_assessment_evaluator,1,0,0,0
access_question_video_manager,etp.assessment.pro.question.video.manager,model_etp_assessment_pro_question_video,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_question_video_portal,etp.assessment.pro.question.video.portal,model_etp_assessment_pro_question_video,base.group_portal,1,0,0,0
access_question_dimension_manager,etp.assessment.pro.question.dimension.manager,model_etp_assessment_pro_question_dimension,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_question_dimension_option_manager,etp.assessment.pro.question.dimension.option.manager,model_etp_assessment_pro_question_dimension_option,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_prompt_manager,etp.assessment.pro.prompt.manager,model_etp_assessment_pro_prompt,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_prompt_resource_manager,etp.assessment.pro.prompt.resource.manager,model_etp_assessment_pro_prompt_resource,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_prompt_question_manager,etp.assessment.pro.prompt.question.manager,model_etp_assessment_pro_prompt_question,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_question_type_user,etp.assessment.pro.question.type.user,model_etp_assessment_pro_question_type,base.group_user,1,0,0,0
access_question_type_manager,etp.assessment.pro.question.type.manager,model_etp_assessment_pro_question_type,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_prompt_question_dimension_manager,etp.assessment.pro.prompt.question.dimension.manager,model_etp_assessment_pro_prompt_question_dimension,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_prompt_question_dimension_option_manager,etp.assessment.pro.prompt.question.dimension.option.manager,model_etp_assessment_pro_prompt_question_dimension_option,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_bank_import_wizard_manager,etp.assessment.pro.bank.import.wizard.manager,model_etp_assessment_pro_bank_import_wizard,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_assessment_evaluator,etp.assessment.pro.evaluator_read,model_etp_assessment_pro,etp_assessment_pro.group_assessment_evaluator,1,0,0,0
access_assessment_manager,etp.assessment.pro.manager,model_etp_assessment_pro,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_assessment_evaluator_assignment_evaluator,etp.assessment.pro.evaluator.evaluator,model_etp_assessment_pro_evaluator,etp_assessment_pro.group_assessment_evaluator,1,1,0,0
access_assessment_evaluator_assignment_manager,etp.assessment.pro.evaluator.manager,model_etp_assessment_pro_evaluator,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_assessment_response_evaluator,etp.assessment.pro.response.evaluator,model_etp_assessment_pro_response,etp_assessment_pro.group_assessment_evaluator,1,1,1,0
access_assessment_response_manager,etp.assessment.pro.response.manager,model_etp_assessment_pro_response,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_assessment_response_line_evaluator,etp.assessment.pro.response.line.evaluator,model_etp_assessment_pro_response_line,etp_assessment_pro.group_assessment_evaluator,1,1,1,1
access_assessment_response_line_manager,etp.assessment.pro.response.line.manager,model_etp_assessment_pro_response_line,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_llm_usage_manager,etp.assessment.pro.llm.usage.manager,model_etp_assessment_pro_llm_usage,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_dashboard_evaluator,etp.assessment.pro.dashboard.evaluator,model_etp_assessment_pro_dashboard,etp_assessment_pro.group_assessment_evaluator,1,1,1,0
access_dashboard_manager,etp.assessment.pro.dashboard.manager,model_etp_assessment_pro_dashboard,etp_assessment_pro.group_assessment_manager,1,1,1,1
access_llm_dashboard_evaluator,etp.assessment.pro.llm.dashboard.evaluator,model_etp_assessment_pro_llm_dashboard,etp_assessment_pro.group_assessment_evaluator,1,1,1,0
access_llm_dashboard_manager,etp.assessment.pro.llm.dashboard.manager,model_etp_assessment_pro_llm_dashboard,etp_assessment_pro.group_assessment_manager,1,1,1,1
