id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_gohan_job_user,gohan.job.user,model_gohan_job,group_gohan_user,1,1,1,0
access_gohan_job_admin,gohan.job.admin,model_gohan_job,group_gohan_admin,1,1,1,1
access_gohan_job_asset_user,gohan.job.asset.user,model_gohan_job_asset,group_gohan_user,1,1,1,1
access_gohan_job_asset_admin,gohan.job.asset.admin,model_gohan_job_asset,group_gohan_admin,1,1,1,1
access_gohan_category_user,gohan.category.user,model_gohan_category,group_gohan_user,1,0,0,0
access_gohan_category_admin,gohan.category.admin,model_gohan_category,group_gohan_admin,1,1,1,1
access_gohan_rerun_wizard_user,gohan.rerun.wizard.user,model_gohan_rerun_wizard,group_gohan_user,1,1,1,0
access_gohan_import_wizard_admin,gohan.import.wizard.admin,model_gohan_import_wizard,group_gohan_admin,1,1,1,0
access_gohan_start_task_wizard_user,gohan.start.task.wizard.user,model_gohan_start_task_wizard,group_gohan_user,1,1,1,0
access_gohan_bulk_assign_wizard_admin,gohan.bulk.assign.wizard.admin,model_gohan_bulk_assign_wizard,group_gohan_admin,1,1,1,0
access_gohan_website_sheet_user,gohan.website.sheet.user,model_gohan_website_sheet,group_gohan_user,1,0,0,0
access_gohan_website_sheet_admin,gohan.website.sheet.admin,model_gohan_website_sheet,group_gohan_admin,1,1,1,1
access_gohan_website_sheet_line_user,gohan.website.sheet.line.user,model_gohan_website_sheet_line,group_gohan_user,1,1,0,0
access_gohan_website_sheet_line_admin,gohan.website.sheet.line.admin,model_gohan_website_sheet_line,group_gohan_admin,1,1,1,1
access_gohan_website_sheet_upload_admin,gohan.website.sheet.upload.admin,model_gohan_website_sheet_upload_wizard,group_gohan_admin,1,1,1,0
access_gohan_website_pick_user,gohan.website.pick.user,model_gohan_website_pick_wizard,group_gohan_user,1,1,1,0
access_gohan_job_log_user,gohan.job.log.user,model_gohan_job_log,group_gohan_user,1,0,0,0
access_gohan_job_log_admin,gohan.job.log.admin,model_gohan_job_log,group_gohan_admin,1,1,1,1
