id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_video_task_user,video.task.user,model_video_task,group_video_user,1,1,1,0
access_video_task_editor,video.task.editor,model_video_task,group_video_editor,1,1,1,0
access_video_task_qc,video.task.qc,model_video_task,group_qc_reviewer,1,1,0,0
access_video_task_manager,video.task.manager,model_video_task,group_video_manager,1,1,1,1
access_video_task_version_user,video.task.version.user,model_video_task_version,group_video_user,1,0,0,0
access_video_task_version_editor,video.task.version.editor,model_video_task_version,group_video_editor,1,1,1,0
access_video_task_version_qc,video.task.version.qc,model_video_task_version,group_qc_reviewer,1,1,0,0
access_video_task_version_manager,video.task.version.manager,model_video_task_version,group_video_manager,1,1,1,1
access_video_task_edit_history_user,video.task.edit.history.user,model_video_task_edit_history,group_video_user,1,0,0,0
access_video_task_edit_history_editor,video.task.edit.history.editor,model_video_task_edit_history,group_video_editor,1,1,1,0
access_video_task_edit_history_manager,video.task.edit.history.manager,model_video_task_edit_history,group_video_manager,1,1,1,1
access_video_task_processing_log_user,video.task.processing.log.user,model_video_task_processing_log,group_video_user,1,0,0,0
access_video_task_processing_log_editor,video.task.processing.log.editor,model_video_task_processing_log,group_video_editor,1,1,1,0
access_video_task_processing_log_manager,video.task.processing.log.manager,model_video_task_processing_log,group_video_manager,1,1,1,1
access_qc_review_wizard,video.qc.review.wizard,model_video_qc_review_wizard,group_qc_reviewer,1,1,1,1
access_qc_review_wizard_manager,video.qc.review.wizard.manager,model_video_qc_review_wizard,group_video_manager,1,1,1,1
access_prompt_wizard_editor,video.prompt.wizard.editor,model_video_prompt_wizard,group_video_editor,1,1,1,1
access_prompt_wizard_manager,video.prompt.wizard.manager,model_video_prompt_wizard,group_video_manager,1,1,1,1
