id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_iris_candidate_user,iris.candidate user,model_iris_candidate,group_iris_user,1,1,1,0
access_iris_candidate_manager,iris.candidate manager,model_iris_candidate,group_iris_manager,1,1,1,1
access_iris_screening_user,iris.screening user,model_iris_screening,group_iris_user,1,1,1,0
access_iris_screening_manager,iris.screening manager,model_iris_screening,group_iris_manager,1,1,1,1
access_iris_interview_user,iris.interview user,model_iris_interview,group_iris_user,1,1,1,0
access_iris_interview_manager,iris.interview manager,model_iris_interview,group_iris_manager,1,1,1,1
access_iris_scorecard_user,iris.scorecard user,model_iris_scorecard,group_iris_user,1,1,1,0
access_iris_scorecard_manager,iris.scorecard manager,model_iris_scorecard,group_iris_manager,1,1,1,1
access_iris_evidence_wizard_user,iris.evidence.wizard user,model_iris_evidence_wizard,group_iris_user,1,1,1,1
access_iris_role_profile_user,iris.role.profile user,model_iris_role_profile,group_iris_user,1,0,0,0
access_iris_role_profile_manager,iris.role.profile manager,model_iris_role_profile,group_iris_manager,1,1,1,0
access_iris_screening_batch_user,iris.screening.batch user,model_iris_screening_batch,group_iris_user,1,1,1,0
access_iris_screening_batch_manager,iris.screening.batch manager,model_iris_screening_batch,group_iris_manager,1,1,1,1
access_iris_tech_date_reference_user,iris.tech.date.reference user,model_iris_tech_date_reference,group_iris_user,1,0,0,0
access_iris_tech_date_reference_manager,iris.tech.date.reference manager,model_iris_tech_date_reference,group_iris_manager,1,1,1,1
access_iris_job_description_user,iris.job.description user,model_iris_job_description,group_iris_user,1,1,1,0
access_iris_job_description_manager,iris.job.description manager,model_iris_job_description,group_iris_manager,1,1,1,1
access_iris_jd_artifact_user,iris.jd.artifact user,model_iris_jd_artifact,group_iris_user,1,1,1,0
access_iris_jd_artifact_manager,iris.jd.artifact manager,model_iris_jd_artifact,group_iris_manager,1,1,1,1
access_iris_assessment_user,iris.assessment user,model_iris_assessment,group_iris_user,1,1,1,0
access_iris_assessment_manager,iris.assessment manager,model_iris_assessment,group_iris_manager,1,1,1,1
access_iris_clarification_user,iris.clarification user,model_iris_clarification,group_iris_user,1,1,1,0
access_iris_clarification_manager,iris.clarification manager,model_iris_clarification,group_iris_manager,1,1,1,1
access_iris_calibration_session_user,iris.calibration.session user,model_iris_calibration_session,group_iris_user,1,0,0,0
access_iris_calibration_session_manager,iris.calibration.session manager,model_iris_calibration_session,group_iris_manager,1,1,1,1
access_iris_calibration_resume_user,iris.calibration.resume user,model_iris_calibration_resume,group_iris_user,1,0,0,0
access_iris_calibration_resume_manager,iris.calibration.resume manager,model_iris_calibration_resume,group_iris_manager,1,1,1,1
access_iris_calibration_task_user,iris.calibration.task user,model_iris_calibration_task,group_iris_user,1,1,0,0
access_iris_calibration_task_manager,iris.calibration.task manager,model_iris_calibration_task,group_iris_manager,1,1,1,1
access_iris_block_signoff_wizard_user,iris.block.signoff.wizard user,model_iris_block_signoff_wizard,group_iris_user,1,1,1,1
access_iris_block_reject_wizard_user,iris.block.reject.wizard user,model_iris_block_reject_wizard,group_iris_user,1,1,1,1
