asin,sellerSku,competitivePrice_Amount,competitivePrice_CurrencyCode,competitivePrice_Condition,listingPrice_Amount,listingPrice_CurrencyCode,landedPrice_Amount,shipping_Amount,numberOfOffers,buyBoxPrice_Amount,buyBoxPrice_CurrencyCode,buyBoxWinner
B0EXAMPLE01,VE-CASE-IP15,17.99,USD,New,19.99,USD,19.99,0.00,12,17.99,USD,false
B0EXAMPLE02,VE-CASE-IP15P,19.99,USD,New,21.99,USD,21.99,0.00,8,19.99,USD,false
B0EXAMPLE03,VE-SCRN-IP15,11.49,USD,New,12.99,USD,12.99,0.00,22,11.49,USD,false
B0EXAMPLE04,VE-CHRG-USB3,14.99,USD,New,16.99,USD,16.99,0.00,18,14.99,USD,false
B0EXAMPLE05,VE-CHRG-LTN,12.99,USD,New,14.99,USD,14.99,4.99,15,12.99,USD,false
B0EXAMPLE06,VE-EARBUD-PRO,47.99,USD,New,49.99,USD,49.99,0.00,6,49.99,USD,true
B0EXAMPLE07,VE-EARBUD-SPT,32.99,USD,New,34.99,USD,34.99,0.00,9,34.99,USD,true
B0EXAMPLE08,VE-STAND-LSA,27.99,USD,New,29.99,USD,29.99,5.99,14,27.99,USD,false
B0EXAMPLE09,VE-STAND-LSB,42.99,USD,New,44.99,USD,44.99,5.99,5,44.99,USD,true
B0EXAMPLE10,VE-USBHUB-7P,36.99,USD,New,39.99,USD,39.99,0.00,20,36.99,USD,false
B0EXAMPLE11,VE-PWR-10K,22.99,USD,New,24.99,USD,24.99,0.00,16,22.99,USD,false
B0EXAMPLE12,VE-PWR-20K,42.99,USD,New,44.99,USD,44.99,0.00,7,44.99,USD,true
B0EXAMPLE13,VE-CHRG-WALL,29.99,USD,New,32.99,USD,32.99,0.00,11,29.99,USD,false
B0EXAMPLE14,VE-SCRN-S24U,13.99,USD,New,15.99,USD,15.99,0.00,19,13.99,USD,false
B0EXAMPLE15,VE-CASE-S24U,15.99,USD,New,17.99,USD,17.99,0.00,10,17.99,USD,true
B0EXAMPLE16,VE-CHRG-MAG,20.99,USD,New,22.99,USD,22.99,0.00,8,22.99,USD,true
B0EXAMPLE17,VE-CHRG-CAR,16.99,USD,New,18.99,USD,18.99,4.99,13,16.99,USD,false
B0EXAMPLE18,VE-CABLE-MAG,25.99,USD,New,27.99,USD,27.99,4.99,4,27.99,USD,true
B0FASH001,KW-CASH-001,168.00,USD,New,178.00,USD,178.00,0.00,6,168.00,USD,false
B0FASH002,KW-CASH-002,185.00,USD,New,195.00,USD,195.00,0.00,4,185.00,USD,true
B0FASH003,KW-MERI-003,209.00,USD,New,225.00,USD,225.00,0.00,5,209.00,USD,false
B0FASH004,KW-MERI-004,155.00,USD,New,165.00,USD,165.00,0.00,8,155.00,USD,false
B0FASH005,KW-MOHA-005,265.00,USD,New,289.00,USD,289.00,0.00,3,265.00,USD,true
B0FASH006,KW-COAT-006,319.00,USD,New,345.00,USD,345.00,0.00,2,319.00,USD,true
B0FASH007,KW-COAT-007,375.00,USD,New,395.00,USD,395.00,0.00,2,375.00,USD,true
B0FASH008,KW-JACK-008,289.00,USD,New,310.00,USD,310.00,0.00,4,289.00,USD,false
B0FASH009,KW-KNIT-009,350.00,USD,New,378.00,USD,378.00,0.00,2,350.00,USD,true
B0FASH010,KW-KNIT-010,245.00,USD,New,265.00,USD,265.00,0.00,5,245.00,USD,false
B0FASH011,KW-PUFF-011,179.00,USD,New,198.00,USD,198.00,0.00,7,179.00,USD,false
B0FASH012,KW-BLZR-012,255.00,USD,New,275.00,USD,275.00,0.00,4,255.00,USD,true
B0FASH013,KW-CASH-013,850.00,USD,New,895.00,USD,895.00,0.00,2,850.00,USD,true
B0FASH014,KW-COAT-014,1180.00,USD,New,1250.00,USD,1250.00,0.00,1,1180.00,USD,true
B0FASH015,KW-KNIT-015,680.00,USD,New,720.00,USD,720.00,0.00,2,680.00,USD,true
B0FASH016,AE-COAT-016,325.00,USD,New,345.00,USD,345.00,0.00,3,325.00,USD,true
B0FASH017,MP-COAT-017,375.00,USD,New,395.00,USD,395.00,0.00,2,375.00,USD,true
B0FASH018,AE-JACK-018,270.00,USD,New,289.00,USD,289.00,0.00,4,270.00,USD,false
B0FASH019,MP-COAT-019,355.00,USD,New,375.00,USD,375.00,0.00,2,355.00,USD,true
B0FASH020,MP-KNIT-020,185.00,USD,New,198.00,USD,198.00,0.00,5,185.00,USD,false
B0FASH021,AE-KNIT-021,248.00,USD,New,265.00,USD,265.00,0.00,3,248.00,USD,true
B0FASH022,MP-KNIT-022,195.00,USD,New,209.00,USD,209.00,0.00,4,195.00,USD,false
B0FASH023,AE-KNIT-023,230.00,USD,New,245.00,USD,245.00,0.00,3,230.00,USD,true
B0FASH024,AE-KNIT-024,268.00,USD,New,285.00,USD,285.00,0.00,2,268.00,USD,true
B0FASH025,AE-KNIT-025,295.00,USD,New,310.00,USD,310.00,0.00,3,295.00,USD,true
B0FASH026,MP-KNIT-026,330.00,USD,New,350.00,USD,350.00,0.00,2,330.00,USD,true
B0FASH027,MP-KNIT-027,358.00,USD,New,378.00,USD,378.00,0.00,2,358.00,USD,true
