courseId,id,title,description,state,maxPoints,workType,topicId,creationTime,updateTime,dueDate_year,dueDate_month,dueDate_day,dueTime_hours,dueTime_minutes,alternateLink
course_001,cw_101,Variables and Data Types Lab,Write a Java program that demonstrates the use of int double boolean and String variables. Include type casting examples.,PUBLISHED,25,ASSIGNMENT,topic_101,2025-01-13T09:00:00Z,2025-01-13T09:00:00Z,2025,1,20,23,59,https://classroom.google.com/c/course_001/a/cw_101
course_001,cw_102,String Methods Practice,Complete the StringExercises.java file implementing 5 string manipulation methods using charAt substring and indexOf.,PUBLISHED,50,ASSIGNMENT,topic_102,2025-01-29T09:00:00Z,2025-01-29T09:00:00Z,2025,2,5,23,59,https://classroom.google.com/c/course_001/a/cw_102
course_001,cw_103,Scanner Input Quiz,What method of the Scanner class is used to read an integer from the user?,PUBLISHED,10,SHORT_ANSWER_QUESTION,topic_102,2025-02-03T09:00:00Z,2025-02-03T09:00:00Z,2025,2,3,23,59,https://classroom.google.com/c/course_001/a/cw_103
course_001,cw_104,If-Else Decision Making,Write a GradeCalculator program that takes a numeric score and outputs the letter grade using if-else chains.,PUBLISHED,50,ASSIGNMENT,topic_103,2025-02-12T09:00:00Z,2025-02-12T09:00:00Z,2025,2,19,23,59,https://classroom.google.com/c/course_001/a/cw_104
course_001,cw_105,While Loop Patterns,Create programs that use while loops to generate number patterns: pyramid triangle and diamond shapes in the console.,PUBLISHED,50,ASSIGNMENT,topic_104,2025-02-26T09:00:00Z,2025-02-26T09:00:00Z,2025,3,5,23,59,https://classroom.google.com/c/course_001/a/cw_105
course_001,cw_106,For Loop Array Traversal,Implement methods that use for loops to find min max sum and average of integer arrays.,PUBLISHED,100,ASSIGNMENT,topic_104,2025-03-03T09:00:00Z,2025-03-03T09:00:00Z,2025,3,12,23,59,https://classroom.google.com/c/course_001/a/cw_106
course_001,cw_107,Class Design: BankAccount,Design and implement a BankAccount class with instance variables constructor deposit withdraw and getBalance methods.,PUBLISHED,100,ASSIGNMENT,topic_105,2025-03-12T09:00:00Z,2025-03-12T09:00:00Z,2025,3,21,23,59,https://classroom.google.com/c/course_001/a/cw_107
course_001,cw_108,ArrayList Operations,Implement a StudentRoster program using ArrayList with add remove search and sort operations.,PUBLISHED,50,ASSIGNMENT,topic_107,2025-04-09T09:00:00Z,2025-04-09T09:00:00Z,2025,4,18,23,59,https://classroom.google.com/c/course_001/a/cw_108
course_001,cw_109,AP Practice: FRQ Set 1,Complete Free Response Questions 1-3 from the 2023 AP CS A exam practice set. Show all work.,PUBLISHED,100,ASSIGNMENT,topic_107,2025-04-21T09:00:00Z,2025-04-21T09:00:00Z,2025,5,2,23,59,https://classroom.google.com/c/course_001/a/cw_109
course_002,cw_201,Personal Portfolio Page,Create a personal portfolio webpage using semantic HTML5 elements. Must include header nav main and footer sections.,PUBLISHED,50,ASSIGNMENT,topic_201,2025-01-13T09:00:00Z,2025-01-13T09:00:00Z,2025,1,22,23,59,https://classroom.google.com/c/course_002/a/cw_201
