id,name,media_count
17840001001,specialtycoffee,12450000
17840001002,latteart,4560000
17840001003,portland,8900000
17840001004,coffeeroasters,2340000
17840001005,pourovercoffee,1890000
17840001006,pdxcoffee,234000
17840001007,coffeeshop,15600000
17840001008,baristalife,3450000
17840001009,coldbrew,5670000
17840001010,coffeeart,2890000
17840001011,homebrewing,1230000
17840001012,singleorigin,890000
17840001013,portlandcoffee,456000
17840001014,coffeeeducation,345000
17840001015,smallbatchcoffee,234000
