media_id,impressions,reach,engagement,saves,shares,profile_visits,follows
17900001001,4230,3890,534,45,23,67,12
17900001002,52800,41200,5608,890,456,1230,345
17900001003,5670,4980,674,78,34,89,23
17900001004,18900,15200,1935,234,145,312,67
17900001005,38700,31400,4175,567,312,534,123
17900001006,7800,6900,928,67,28,45,8
17900001007,24500,19800,2652,345,189,423,89
17900001008,41200,33600,4428,1230,567,678,156
17900001009,11200,9800,1379,123,56,134,34
17900001010,5890,5200,762,34,18,56,11
17900001011,15600,12800,1713,234,112,189,45
17900001012,3450,3100,447,12,8,23,4
17900001013,28900,23400,3158,456,234,567,134
17900001014,34500,27800,3721,789,345,456,112
17900001015,4890,4300,623,45,15,34,7
17900001016,9800,8200,1152,89,67,123,28
17900001017,56700,45200,6084,1456,678,890,234
17900001018,18700,15100,2042,178,98,234,56
17900001019,8200,7100,979,67,34,56,12
17900001020,14500,11800,1564,345,123,189,45
17900001021,22300,18100,2464,289,156,312,78
17900001022,6700,5800,788,45,18,34,6
17900001023,7500,6600,919,56,23,67,15
17900001024,16800,13500,1788,198,112,167,38
17900001025,10200,8900,1218,89,45,78,18
17900001026,32400,26100,3419,890,345,456,98
17900001027,25600,20800,2755,312,178,345,87
17900001028,2890,2600,363,12,5,18,3
17900001029,4210,3105,253,42,18,34,8
17900001030,2890,2240,161,67,11,22,5
17900001031,1950,1620,121,15,5,12,2
17900001032,3450,2780,153,31,22,28,6
17900001033,3680,2950,191,58,14,26,7
17900001084,4210,3105,253,42,18,34,8
17900001085,2890,2240,161,67,11,22,5
17900001086,1950,1620,121,15,5,12,2
17900001087,3450,2780,153,31,22,28,6
17900001088,3680,2950,191,58,14,26,7
17900001089,4210,3450,987,142,67,89,24
17900001090,5890,4720,1315,198,84,112,31
17900001091,2870,2340,663,78,32,45,12
17900001092,7420,5980,1677,267,118,156,42
17900001093,1890,1560,441,52,21,34,8
17900001094,1340,1120,326,38,14,22,5
17900001095,8910,7120,1979,312,145,198,53
17900001096,4560,3680,1019,156,62,78,19
17900001097,2670,2180,612,89,38,52,14
17900001098,3340,2720,748,112,48,67,16
17900001099,9870,7890,2156,345,167,223,61
17900001100,11240,8950,2489,398,187,245,67
17900001101,1230,1020,299,32,12,18,4
17900001102,5120,4150,1134,178,72,95,25
17900001103,890,740,208,21,8,12,3
17900001104,7890,6340,1756,278,125,167,45
17900001105,2010,1670,467,56,24,38,9
17900001106,1560,1290,364,42,18,28,7
