entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
1,2025-03-30,Breakfast,13,Oatmeal (cooked),,1,cup,1,154,2.6,0.4,0,9,27,4,1.1,5.4
2,2025-03-30,Breakfast,3,Banana,,1,medium (118g),1,105,0.4,0.1,0,1,27,3.1,14.4,1.3
3,2025-03-30,Breakfast,5,Chobani Greek Yogurt (Non-Fat Plain),Chobani,1,container (150g),1,90,0,0,5,60,6,0,4,15
4,2025-03-30,Lunch,1,Grilled Chicken Breast,,4,oz,1.5,248,5.4,1.5,128,111,0,0,0,46.5
5,2025-03-30,Lunch,2,Brown Rice (cooked),,1,cup,1,216,1.8,0.4,0,10,45,3.5,0.7,5
6,2025-03-30,Lunch,8,Broccoli (steamed),,1,cup,1,55,0.6,0.1,0,64,11,5.1,2.2,3.7
7,2025-03-30,Dinner,10,Salmon Fillet (baked),,4,oz,1,233,14,2.6,63,62,0,0,0,25
8,2025-03-30,Dinner,9,Sweet Potato (baked),,1,medium (130g),1,103,0.1,0,0,41,24,3.8,7.4,2.3
9,2025-03-30,Dinner,15,Baby Spinach,,2,cups (60g),1,14,0.2,0,0,47,2.2,1.3,0.3,1.7
10,2025-03-30,Snacks,12,Almonds (raw),,1,oz (28g),1,164,14,1.1,0,0,6,3.5,1.2,6
11,2025-03-30,Snacks,19,Apple,,1,medium (182g),1,95,0.3,0.1,0,2,25,4.4,19,0.5
12,2025-03-31,Breakfast,4,Large Egg,,1,large,2,144,10,3.2,372,142,0.8,0,0.4,12.6
13,2025-03-31,Breakfast,6,Dave's Killer Bread (21 Whole Grains),Dave's Killer Bread,1,slice (45g),2,220,3,0,0,340,44,10,10,10
14,2025-03-31,Breakfast,11,Avocado,,0.5,medium,1,120,11,1.5,0,5,6,5,0.5,1.5
15,2025-03-31,Lunch,32,Turkey Sandwich (whole wheat),,1,sandwich,1,350,8,2.5,45,890,42,5,6,24
16,2025-03-31,Lunch,19,Apple,,1,medium (182g),1,95,0.3,0.1,0,2,25,4.4,19,0.5
17,2025-03-31,Dinner,17,Ground Turkey (93% lean),,4,oz,1.5,255,13.5,3.8,120,120,0,0,0,31.5
18,2025-03-31,Dinner,28,Spaghetti (whole wheat cooked),,1,cup,1,174,0.8,0.1,0,4,37,6.3,0.8,7.5
19,2025-03-31,Dinner,29,Marinara Sauce,Rao's Homemade,0.5,cup (125g),1,80,5,0.5,0,390,7,2,5,1
20,2025-03-31,Snacks,18,Protein Shake (whey),Optimum Nutrition,1,scoop (31g),1,120,1.5,0.5,30,130,3,1,1,24
21,2025-03-31,Snacks,40,String Cheese,Sargento,1,stick (28g),1,80,6,3.5,15,200,1,0,0,7
