food_id,food_name,brand,serving_size,serving_unit,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,potassium_mg,is_verified
1,Grilled Chicken Breast,,4,oz,165,3.6,1.0,85,74,0,0,0,31,256,true
2,Brown Rice (cooked),,1,cup,216,1.8,0.4,0,10,45,3.5,0.7,5,84,true
3,Banana,,1,medium (118g),105,0.4,0.1,0,1,27,3.1,14.4,1.3,422,true
4,Large Egg,,1,large,72,5.0,1.6,186,71,0.4,0,0.2,6.3,69,true
5,Chobani Greek Yogurt (Non-Fat Plain),"Chobani",1,container (150g),90,0,0,5,60,6,0,4,15,240,true
6,Dave's Killer Bread (21 Whole Grains),"Dave's Killer Bread",1,slice (45g),110,1.5,0,0,170,22,5,5,5,80,true
7,Extra Virgin Olive Oil,,1,tbsp,119,14,1.9,0,0,0,0,0,0,0,true
8,Broccoli (steamed),,1,cup,55,0.6,0.1,0,64,11,5.1,2.2,3.7,457,true
9,Sweet Potato (baked),,1,medium (130g),103,0.1,0,0,41,24,3.8,7.4,2.3,542,true
10,Salmon Fillet (baked),,4,oz,233,14,2.6,63,62,0,0,0,25,534,true
11,Avocado,,0.5,medium,120,11,1.5,0,5,6,5,0.5,1.5,345,true
12,Almonds (raw),,1,oz (28g),164,14,1.1,0,0,6,3.5,1.2,6,208,true
13,Oatmeal (cooked),,1,cup,154,2.6,0.4,0,9,27,4,1.1,5.4,143,true
14,Whole Milk,,1,cup,149,8,5,24,105,12,0,12,8,322,true
15,Baby Spinach,,2,cups (60g),14,0.2,0,0,47,2.2,1.3,0.3,1.7,334,true
16,Black Beans (canned),,0.5,cup,114,0.5,0.1,0,461,20,7.5,0.3,7.6,305,true
17,Ground Turkey (93% lean),,4,oz,170,9,2.5,80,80,0,0,0,21,240,true
18,Protein Shake (whey),"Optimum Nutrition",1,scoop (31g),120,1.5,0.5,30,130,3,1,1,24,160,true
19,Apple,,1,medium (182g),95,0.3,0.1,0,2,25,4.4,19,0.5,195,true
20,Peanut Butter (natural),"Smucker's Natural",2,tbsp (32g),190,16,2.5,0,65,7,2,3,7,180,true
21,Chipotle Burrito Bowl (Chicken),"Chipotle",1,bowl,665,22,8,120,1695,60,12,5,50,820,true
22,Quest Protein Bar (Chocolate Chip Cookie Dough),"Quest Nutrition",1,bar (60g),200,9,3.5,10,260,22,14,1,21,85,true
