water_id,date,cups,notes
1,2025-03-30,8,
2,2025-03-31,7,
3,2025-04-01,9,Extra water after gym
4,2025-04-02,6,Forgot bottle at work
5,2025-04-03,8,
6,2025-04-04,10,Hot day
7,2025-04-05,7,
8,2025-04-06,6,
9,2025-04-07,9,Post-run hydration
10,2025-04-08,8,
11,2025-04-09,7,
12,2025-04-10,8,
13,2025-04-11,9,
14,2025-04-12,10,Hiking day
15,2025-04-13,7,
16,2025-04-14,8,
17,2025-04-15,8,
18,2025-04-16,7,
19,2025-04-17,9,Post-long-run
20,2025-04-18,8,
21,2025-04-19,6,Lazy weekend
22,2025-04-20,7,
23,2025-04-21,8,
24,2025-04-22,9,
25,2025-04-23,8,
26,2025-04-24,10,Hot weather
27,2025-04-25,8,
28,2025-04-26,7,
29,2025-04-27,9,
30,2025-04-28,8,
101,2026-03-01,6,
102,2026-03-05,5,Low intake
103,2026-03-10,6,
104,2026-03-15,7,
105,2026-03-21,6,
