pin_id,date,impressions,saves,pin_clicks,outbound_clicks
pin_3001,2026-04-01,520,42,30,18
pin_3001,2026-04-02,485,38,28,15
pin_3001,2026-04-03,612,51,35,22
pin_3001,2026-04-04,498,40,25,14
pin_3001,2026-04-05,534,45,32,20
pin_3003,2026-04-01,780,95,55,38
pin_3003,2026-04-02,820,102,61,42
pin_3003,2026-04-03,695,88,48,33
pin_3003,2026-04-04,910,115,70,48
pin_3003,2026-04-05,856,108,65,44
pin_3005,2026-04-01,1050,150,72,45
pin_3005,2026-04-02,1120,162,80,52
pin_3005,2026-04-03,980,140,68,40
pin_3005,2026-04-04,1200,175,88,58
pin_3005,2026-04-05,1150,168,82,55
pin_3006,2026-04-01,320,28,15,8
pin_3006,2026-04-02,295,24,12,6
pin_3006,2026-04-03,310,26,14,7
pin_3006,2026-04-04,280,22,10,5
pin_3006,2026-04-05,305,25,13,7
pin_3009,2026-04-01,2200,135,128,95
pin_3009,2026-04-02,2450,148,140,108
pin_3009,2026-04-03,2100,125,115,88
pin_3009,2026-04-04,2680,160,155,120
pin_3009,2026-04-05,2550,152,145,112
pin_3014,2026-04-01,950,105,70,48
pin_3014,2026-04-02,1020,112,78,55
pin_3014,2026-04-03,880,95,62,42
pin_3014,2026-04-04,1100,120,85,60
pin_3014,2026-04-05,1050,115,80,56
pin_bb_001,2024-04-01,180,12,8
pin_bb_001,2024-04-08,210,15,9
pin_bb_001,2024-04-15,250,18,11
pin_bb_002,2024-04-01,140,10,5
pin_bb_002,2024-04-08,160,11,6
pin_bb_002,2024-04-15,130,9,4
pin_bb_003,2024-04-01,120,8,3
pin_bb_003,2024-04-08,150,10,5
pin_bb_003,2024-04-15,110,7,4
pin_3001,2024-06-15,15230,1245,890
pin_3002,2024-07-02,8920,634,412
pin_3003,2024-08-10,22450,2890,1567
pin_3004,2024-09-05,18760,1567,923
pin_3005,2024-10-12,31200,4521,2100
pin_3039,2025-06-01,18400,1560,980
pin_3040,2025-06-10,14200,1230,760
pin_3041,2025-06-18,11800,987,612
pin_3042,2025-07-01,16500,1345,834
pin_3043,2025-07-08,13900,1120,698
pin_3044,2025-07-15,12100,978,601
