date,impressions,saves,pin_clicks,outbound_clicks,profile_visits,follows
2026-03-27,8500,620,430,285,120,8
2026-03-28,9200,680,475,310,135,12
2026-03-29,7800,560,395,260,98,5
2026-03-30,8900,640,445,295,115,9
2026-03-31,10200,750,520,350,155,15
2026-04-01,9800,720,500,335,148,11
2026-04-02,10500,780,540,365,162,14
2026-04-03,8600,610,420,280,108,7
2026-04-04,11200,830,575,390,178,18
2026-04-05,10800,795,555,375,170,16
2026-04-06,9100,650,455,300,125,10
2026-04-07,8400,595,410,270,105,6
2026-04-08,9600,700,485,320,140,12
2026-04-09,10100,740,515,345,152,13
2026-04-10,11500,850,590,400,185,20
2026-04-11,10900,810,560,380,172,17
2026-04-12,9300,670,465,310,130,9
2026-04-13,8700,620,430,285,112,7
2026-04-14,9900,725,505,340,145,11
2026-04-15,10400,770,535,360,160,14
2026-04-16,11800,880,610,415,192,22
2026-04-17,11200,835,580,395,180,19
2026-04-18,9500,690,480,315,138,10
2026-04-19,8800,630,440,290,115,8
2026-04-20,10600,785,545,370,165,15
2026-04-21,10200,750,520,350,155,13
2026-04-22,11400,845,585,398,188,21
2026-04-23,10700,795,550,372,168,16
2026-04-24,9400,680,470,312,132,9
2026-04-25,10000,735,510,342,150,12
