Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,AcctNum,Vendor1099
1,Charlotte Fuel Depot,Charlotte Fuel Depot LLC,billing@charlottefuel.com,(704) 555-3001,1200 Industrial Blvd,Charlotte,NC,28206,0.00,true,FUEL-001,false
2,SunPro Nursery,SunPro Nursery & Garden Center,orders@sunpronursery.com,(704) 555-3102,8900 Nursery Road,Huntersville,NC,28078,1250.00,true,NURS-002,false
3,BladeEdge Equipment Rental,BladeEdge Equipment Rental Inc,accounts@bladeedge.com,(704) 555-3203,3400 Equipment Way,Charlotte,NC,28214,0.00,true,EQUIP-003,false
4,State Farm Insurance - Okafor,State Farm Insurance,agent.okafor@statefarm.com,(704) 555-3304,555 Insurance Center Dr,Charlotte,NC,28217,0.00,true,INS-004,false
5,Carolina Irrigation Supply,Carolina Irrigation Supply Co,sales@carolinairrigation.com,(704) 555-3405,2100 Plumbing Lane,Charlotte,NC,28208,450.00,true,IRR-005,false
6,Mecklenburg Mulch & Stone,Mecklenburg Mulch & Stone Yard,dispatch@meckstone.com,(704) 555-3506,6700 Quarry Road,Charlotte,NC,28269,0.00,true,MULCH-006,false
7,Ford Motor Credit,Ford Motor Credit Company LLC,payments@fordcredit.com,(800) 555-3607,PO Box 650574,Dallas,TX,75265,0.00,true,TRUCK-007,false
8,Pedro Ramirez (Subcontractor),,,pedro.ramirez@email.com,(704) 555-3708,4521 Worker Lane,Charlotte,NC,28205,0.00,true,SUB-008,true
9,Queen City Small Engine,Queen City Small Engine Repair,service@qcsmallengine.com,(704) 555-3809,1890 Mechanic Street,Charlotte,NC,28213,325.00,true,REPAIR-009,false
10,Verizon Wireless,Verizon Wireless,businesssupport@verizon.com,(800) 555-3910,PO Box 660108,Dallas,TX,75266,0.00,true,PHONE-010,false
11,Duke Energy,Duke Energy Carolinas LLC,businessbilling@duke-energy.com,(800) 555-4011,PO Box 1003,Charlotte,NC,28201,0.00,true,UTIL-011,false
12,Unifirst Corporation,Unifirst Corporation,service@unifirst.com,(704) 555-4112,2200 Uniform Way,Charlotte,NC,28216,0.00,true,UNIF-012,false
