device_id,zone_id,zone_name,sensitivity,enabled,coordinates
987001,zone_001,Porch,7,true,"0.1,0.2,0.9,0.8"
987001,zone_002,Sidewalk,5,true,"0.0,0.6,1.0,1.0"
987001,zone_003,Front Yard,6,true,"0.0,0.3,1.0,0.7"
987002,zone_004,Patio,5,true,"0.2,0.1,0.8,0.9"
987002,zone_005,Garden,4,true,"0.0,0.5,0.5,1.0"
987002,zone_006,Pool Area,6,true,"0.5,0.3,1.0,0.9"
987003,zone_007,Driveway,8,true,"0.1,0.1,0.9,0.9"
987003,zone_008,Street,3,false,"0.0,0.7,1.0,1.0"
987003,zone_009,Garage Door,7,true,"0.3,0.0,0.7,0.4"
987004,zone_010,Living Room,3,true,"0.0,0.0,1.0,1.0"
987005,zone_011,Gate Path,6,true,"0.2,0.1,0.8,0.9"
987005,zone_012,Side Yard,5,true,"0.0,0.3,1.0,0.8"
