id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_kensei_kensei_tasker,kensei.kensei.tasker,model_kensei_kensei,group_kensei_tasker,1,1,1,1
access_kensei_turn_tasker,kensei.turn.tasker,model_kensei_turn,group_kensei_tasker,1,1,1,1
access_kensei_sandbox_tasker,kensei.sandbox.tasker,model_kensei_sandbox,group_kensei_tasker,1,1,1,1
access_kensei_persona_tasker,kensei.persona.tasker,model_kensei_persona,group_kensei_tasker,1,0,0,0
access_kensei_taxonomy_tasker,kensei.taxonomy.tasker,model_kensei_taxonomy,group_kensei_tasker,1,0,0,0
access_kensei_domain_tasker,kensei.domain.tasker,model_kensei_domain,group_kensei_tasker,1,0,0,0
access_kensei_persona_ql,kensei.persona.ql,model_kensei_persona,group_kensei_ql,1,1,1,1
access_kensei_domain_ql,kensei.domain.ql,model_kensei_domain,group_kensei_ql,1,1,1,1
access_kensei_kensei_pl,kensei.kensei.pl,model_kensei_kensei,group_kensei_pl,1,1,1,1
access_kensei_turn_pl,kensei.turn.pl,model_kensei_turn,group_kensei_pl,1,1,1,1
access_kensei_sandbox_pl,kensei.sandbox.pl,model_kensei_sandbox,group_kensei_pl,1,1,1,1
access_kensei_persona_pl,kensei.persona.pl,model_kensei_persona,group_kensei_pl,1,1,1,1
access_kensei_taxonomy_pl,kensei.taxonomy.pl,model_kensei_taxonomy,group_kensei_pl,1,1,1,1
access_kensei_domain_pl,kensei.domain.pl,model_kensei_domain,group_kensei_pl,1,1,1,1
access_kensei_api_request_pl,kensei.api.request.pl,model_kensei_api_request,group_kensei_pl,1,1,1,1
access_kensei_test_result_tasker,kensei.test.result.tasker,model_kensei_test_result,group_kensei_tasker,1,0,0,0
access_kensei_test_result_ql,kensei.test.result.ql,model_kensei_test_result,group_kensei_ql,1,0,0,0
access_kensei_test_result_pl,kensei.test.result.pl,model_kensei_test_result,group_kensei_pl,1,1,1,1
