reportId,reportType,reportStatus,dataStartTime,dataEndTime,createdTime,processingEndTime,reportDocumentId
REP-001,GET_FLAT_FILE_OPEN_LISTINGS_DATA,DONE,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,2026-05-01T02:00:00Z,2026-05-01T02:05:00Z,DOC-REP-001
REP-002,GET_MERCHANT_LISTINGS_ALL_DATA,DONE,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,2026-05-01T02:00:00Z,2026-05-01T02:06:00Z,DOC-REP-002
REP-003,GET_FBA_MYI_UNSUPPRESSED_INVENTORY_DATA,DONE,2026-04-28T00:00:00Z,2026-04-28T23:59:59Z,2026-04-29T01:00:00Z,2026-04-29T01:03:00Z,DOC-REP-003
REP-004,GET_FLAT_FILE_ALL_ORDERS_DATA_BY_ORDER_DATE_GENERAL,DONE,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,2026-05-01T03:00:00Z,2026-05-01T03:08:00Z,DOC-REP-004
REP-005,GET_FBA_FULFILLMENT_INVENTORY_HEALTH_DATA,DONE,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,2026-05-01T04:00:00Z,2026-05-01T04:12:00Z,DOC-REP-005
REP-006,GET_SALES_AND_TRAFFIC_REPORT,DONE,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,2026-05-01T05:00:00Z,2026-05-01T05:04:00Z,DOC-REP-006
REP-007,GET_FBA_INVENTORY_PLANNING_DATA,DONE,2026-04-15T00:00:00Z,2026-04-28T23:59:59Z,2026-04-29T02:00:00Z,2026-04-29T02:05:00Z,DOC-REP-007
REP-008,GET_FLAT_FILE_RETURNS_DATA_BY_RETURN_DATE,DONE,2026-03-01T00:00:00Z,2026-04-30T23:59:59Z,2026-05-01T06:00:00Z,2026-05-01T06:03:00Z,DOC-REP-008
REP-009,GET_MERCHANT_LISTINGS_ALL_DATA,IN_PROGRESS,2026-05-01T00:00:00Z,2026-05-05T23:59:59Z,2026-05-06T01:00:00Z,,
REP-010,GET_FBA_MYI_UNSUPPRESSED_INVENTORY_DATA,IN_QUEUE,2026-05-01T00:00:00Z,2026-05-05T23:59:59Z,2026-05-06T01:30:00Z,,
REP-011,GET_FW26_CAPSULE_BUY_MATRIX,DONE,2026-05-08T00:00:00Z,2026-05-08T23:59:59Z,2026-05-08T10:00:00Z,2026-05-08T10:05:00Z,DOC-REP-011
