transaction_id,account_id,date,description,merchant,category_id,amount,pending,is_transfer
tx-30001,acc-checking,2026-05-02,Direct deposit — Orbit Labs payroll,Orbit Labs,cat-income-salary,7820.50,false,false
tx-30002,acc-checking,2026-05-03,Mortgage payment,Wells Fargo,cat-rent,-3120.00,false,false
tx-30003,acc-cc-visa,2026-05-04,Safeway,Safeway #2210,cat-groceries,-128.42,false,false
tx-30004,acc-cc-amex,2026-05-05,Tartine Bakery,Tartine Bakery,cat-dining,-32.10,false,false
tx-30005,acc-checking,2026-05-06,Comcast internet,Comcast,cat-utilities,-89.99,false,false
tx-30006,acc-cc-visa,2026-05-08,Whole Foods Market,Whole Foods #210,cat-groceries,-94.18,false,false
tx-30007,acc-cc-amex,2026-05-10,Chipotle,Chipotle #4001,cat-dining,-14.20,false,false
tx-30008,acc-cc-visa,2026-05-10,Shell,Shell,cat-fuel,-52.40,false,false
tx-30009,acc-checking,2026-05-12,Transfer to savings,Cascade Bank,cat-transfer,-500.00,false,true
tx-30010,acc-savings,2026-05-12,Transfer from checking,Cascade Bank,cat-transfer,500.00,false,true
tx-30011,acc-cc-amex,2026-05-12,Equinox,Equinox SF,cat-fitness,-90.00,false,false
tx-30012,acc-cc-visa,2026-05-13,Trader Joe's,Trader Joe's #145,cat-groceries,-72.86,false,false
tx-30013,acc-cc-visa,2026-05-14,Lyft,Lyft,cat-rideshare,-18.20,false,false
tx-30014,acc-cc-amex,2026-05-15,Souvla,Souvla,cat-dining,-52.40,false,false
tx-30015,acc-checking,2026-05-15,PG&E,PG&E,cat-utilities,-58.63,false,false
tx-30016,acc-cc-visa,2026-05-15,Costco,Costco #2,cat-groceries,-78.20,false,false
tx-30017,acc-cc-visa,2026-05-16,Uber,Uber,cat-rideshare,-28.00,false,false
tx-30018,acc-cc-amex,2026-05-17,Netflix,Netflix,cat-subscriptions,-22.99,false,false
tx-30019,acc-cc-amex,2026-05-17,Spotify,Spotify,cat-subscriptions,-11.99,false,false
tx-30020,acc-cc-visa,2026-05-18,United Airlines,United,cat-travel,-560.00,false,false
tx-30021,acc-cc-visa,2026-05-19,REI,REI,cat-shopping,-188.55,false,false
tx-30022,acc-cc-visa,2026-05-20,Trader Joe's,Trader Joe's #145,cat-groceries,-38.52,false,false
tx-30023,acc-cc-amex,2026-05-21,Souvla,Souvla,cat-dining,-29.40,false,false
tx-30024,acc-checking,2026-05-21,Charity — Code.org,Code.org,cat-charity,-250.00,false,false
tx-30025,acc-cc-amex,2026-05-22,iCloud+,Apple,cat-subscriptions,-9.99,false,false
tx-30026,acc-cc-amex,2026-05-22,Adobe Creative Cloud,Adobe,cat-subscriptions,-54.99,false,false
tx-30027,acc-cc-amex,2026-05-22,Notion,Notion,cat-subscriptions,-12.00,false,false
tx-30028,acc-cc-amex,2026-05-22,1Password Families,1Password,cat-subscriptions,-7.99,false,false
tx-30029,acc-cc-amex,2026-05-22,GitHub Pro,GitHub,cat-subscriptions,-7.00,false,false
tx-30030,acc-cc-amex,2026-05-22,YouTube Premium,YouTube,cat-subscriptions,-22.99,false,false
tx-30031,acc-cc-amex,2026-05-22,Headspace,Headspace,cat-subscriptions,-12.99,false,false
tx-30032,acc-cc-visa,2026-05-23,Sephora,Sephora,cat-shopping,-92.10,false,false
tx-30033,acc-cc-visa,2026-05-23,Apple Store,Apple,cat-shopping,-137.90,false,false
tx-30034,acc-cc-visa,2026-05-24,Shell,Shell,cat-fuel,-40.00,false,false
tx-30035,acc-cc-amex,2026-05-25,Tartine Bakery,Tartine Bakery,cat-dining,-22.30,false,false
tx-30036,acc-checking,2026-05-25,Kaiser copay,Kaiser Permanente,cat-healthcare,-75.00,false,false
tx-30037,acc-cc-amex,2026-05-26,Souvla,Souvla,cat-dining,-38.00,true,false
tx-30038,acc-cc-visa,2026-05-26,Trader Joe's,Trader Joe's #145,cat-groceries,-22.30,true,false
tx-30039,acc-savings,2026-05-26,Interest payment,Cascade Bank,cat-income,78.42,false,false
tx-30040,acc-brokerage,2026-05-15,Dividend — VTI,Vanguard,cat-income,182.45,false,false
