order_id,product_id,quantity,unit_price,line_total,replacement_for
order-001,prod-safe-001,2,2.49,4.98,
order-001,prod-safe-002,1,4.79,4.79,
order-001,prod-safe-003,1,3.49,3.49,
order-001,prod-safe-004,2,9.99,19.98,
order-001,prod-safe-005,1,5.99,5.99,
order-001,prod-safe-006,1,2.95,2.95,prod-safe-006
order-002,prod-wf-001,2,14.99,29.98,
order-002,prod-wf-002,2,3.49,6.98,
order-002,prod-wf-003,2,5.99,11.98,
order-002,prod-wf-004,10,1.49,14.90,
order-002,prod-wf-001,1,4.66,4.66,
order-003,prod-tj-001,2,5.49,10.98,
order-003,prod-tj-002,3,2.99,8.97,
order-003,prod-tj-003,2,3.99,7.98,
order-003,prod-tj-001,1,2.03,2.03,
