product_id,retailer_id,name,brand,category,unit_size,price,in_stock,sale_price,image_url
prod-safe-001,ret-safeway,Organic Bananas,Safeway Organics,Produce,2 lb,2.49,true,,
prod-safe-002,ret-safeway,Whole Milk Gallon,Lucerne,Dairy,1 gal,4.79,true,,
prod-safe-003,ret-safeway,Sourdough Bread Loaf,Signature SELECT,Bakery,24 oz,4.29,true,3.49,
prod-safe-004,ret-safeway,Boneless Chicken Breast,Open Nature,Meat,1.5 lb,9.99,true,,
prod-safe-005,ret-safeway,Honeycrisp Apples,Safeway Organics,Produce,3 lb,5.99,true,,
prod-safe-006,ret-safeway,Greek Yogurt Plain,Chobani,Dairy,32 oz,6.49,false,,
prod-wf-001,ret-wholefoods,Wild Salmon Fillet,Whole Foods,Seafood,1 lb,14.99,true,,
prod-wf-002,ret-wholefoods,Organic Spinach,365 by Whole Foods,Produce,5 oz,3.49,true,,
prod-wf-003,ret-wholefoods,Oat Milk Original,Oatly,Dairy Alt,64 oz,5.99,true,,
prod-wf-004,ret-wholefoods,Avocados Hass,365 by Whole Foods,Produce,each,1.99,true,1.49,
prod-tj-001,ret-traderjoes,Mandarin Orange Chicken,Trader Joe's,Frozen,22 oz,5.49,true,,
prod-tj-002,ret-traderjoes,Cauliflower Gnocchi,Trader Joe's,Frozen,12 oz,2.99,true,,
prod-tj-003,ret-traderjoes,Two-Buck Chuck Cabernet,Charles Shaw,Wine,750 ml,3.99,true,,
prod-costco-001,ret-costco,Kirkland Toilet Paper 30ct,Kirkland Signature,Household,30 rolls,24.99,true,,
prod-costco-002,ret-costco,Rotisserie Chicken,Kirkland Signature,Deli,each,4.99,true,,
prod-cvs-001,ret-cvs,Ibuprofen 200mg 100ct,CVS Health,Pharmacy,100 caps,8.49,true,,
prod-cvs-002,ret-cvs,Toothpaste Mint 6oz,Colgate,Personal Care,6 oz,4.99,true,3.49,
