section_id,board_id,name,pin_count
section_2001,board_1002,Phalaenopsis,7
section_2002,board_1002,Cattleya,6
section_2003,board_1002,Paphiopedilum,5
section_2004,board_1003,Flavors & Recipes,8
section_2005,board_1003,Techniques,5
section_2006,board_1004,Layout & Benches,4
section_2007,board_1004,Climate Systems,3
section_2008,board_1005,Weeknight Meals,5
section_2009,board_1005,Sunday Baking,4
section_2010,board_1006,Perennials,5
section_2011,board_1006,Container Gardens,3
section_7001,board_5001,Log Cabin,4
section_7002,board_5001,Lone Star,4
section_7003,board_5001,Dresden Plate,4
section_7004,board_5001,Bear Paw,3
section_7005,board_5001,Nine Patch,4
section_7006,board_5001,Half Square Triangle,3
section_7007,board_5001,Pinwheel,3
section_7008,board_5001,Techniques and Tutorials,5
