date,impressions,saves,pin_clicks,outbound_clicks,profile_visits,follows
2026-03-27,520,38,26,17,10,1
2026-03-28,580,42,30,20,12,2
2026-03-29,465,33,23,15,8,0
2026-03-30,540,39,27,18,10,1
2026-03-31,645,47,33,22,14,2
2026-04-01,610,45,31,21,13,1
2026-04-02,660,48,34,23,15,2
2026-04-03,530,38,26,17,10,1
2026-04-04,710,52,36,25,16,3
2026-04-05,680,50,35,24,15,2
2026-04-06,555,40,28,18,11,1
2026-04-07,510,37,25,16,9,0
2026-04-08,590,43,30,20,12,1
2026-04-09,625,46,32,21,13,2
2026-04-10,720,53,37,25,17,3
2026-04-11,685,50,35,24,15,2
2026-04-12,565,41,28,19,11,1
2026-04-13,525,38,26,17,10,1
2026-04-14,605,44,31,20,13,1
2026-04-15,650,48,33,22,14,2
2026-04-16,745,55,38,26,18,3
2026-04-17,700,52,36,24,16,2
2026-04-18,580,42,29,19,12,1
2026-04-19,535,39,27,18,10,1
2026-04-20,665,49,34,23,15,2
2026-04-21,635,47,32,22,14,2
2026-04-22,715,53,37,25,17,3
2026-04-23,670,49,34,23,15,2
2026-04-24,570,41,29,19,12,1
2026-04-25,620,45,31,21,13,2
