zpid,event_date,event,price,price_per_sqft,source
84120001,2026-04-15,Listed for sale,1495000,526,Zillow
84120001,2024-08-12,Sold,1280000,451,County
84120001,2014-05-20,Sold,725000,255,County
84120002,2026-05-08,Listed for sale,985000,541,Zillow
84120002,2018-09-04,Sold,720000,396,County
84120003,2026-05-21,Listed for sale,720000,610,Zillow
84120003,2018-12-01,Sold,610000,517,County
84120004,2026-03-20,Listed for sale,1875000,514,Zillow
84120005,2026-05-26,Sold,540000,844,Listing
84120005,2026-05-01,Listed for sale,548000,856,Zillow
84120005,2015-06-12,Sold,395000,617,County
84120006,2026-05-12,Listed for sale,1180000,476,Zillow
84120007,2026-05-04,Listed for sale,890000,422,Zillow
84120009,2026-05-15,Listed for sale,1620000,549,Zillow
84120009,2014-07-30,Sold,820000,278,County
84120010,2026-05-20,Listed for rent,3000,2.73,Zillow
