id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_kensei2_kensei2_tasker,kensei2.kensei2.tasker,model_kensei2_kensei2,group_kensei2_tasker,1,1,1,1
access_kensei2_turn_tasker,kensei2.turn.tasker,model_kensei2_turn,group_kensei2_tasker,1,1,1,1
access_kensei2_sandbox_tasker,kensei2.sandbox.tasker,model_kensei2_sandbox,group_kensei2_tasker,1,1,1,1
access_kensei2_persona_tasker,kensei2.persona.tasker,model_kensei2_persona,group_kensei2_tasker,1,0,0,0
access_kensei2_taxonomy_tasker,kensei2.taxonomy.tasker,model_kensei2_taxonomy,group_kensei2_tasker,1,0,0,0
access_kensei2_domain_tasker,kensei2.domain.tasker,model_kensei2_domain,group_kensei2_tasker,1,0,0,0
access_kensei2_persona_ql,kensei2.persona.ql,model_kensei2_persona,group_kensei2_ql,1,1,1,1
access_kensei2_domain_ql,kensei2.domain.ql,model_kensei2_domain,group_kensei2_ql,1,1,1,1
access_kensei2_kensei2_pl,kensei2.kensei2.pl,model_kensei2_kensei2,group_kensei2_pl,1,1,1,1
access_kensei2_turn_pl,kensei2.turn.pl,model_kensei2_turn,group_kensei2_pl,1,1,1,1
access_kensei2_sandbox_pl,kensei2.sandbox.pl,model_kensei2_sandbox,group_kensei2_pl,1,1,1,1
access_kensei2_persona_pl,kensei2.persona.pl,model_kensei2_persona,group_kensei2_pl,1,1,1,1
access_kensei2_taxonomy_pl,kensei2.taxonomy.pl,model_kensei2_taxonomy,group_kensei2_pl,1,1,1,1
access_kensei2_domain_pl,kensei2.domain.pl,model_kensei2_domain,group_kensei2_pl,1,1,1,1
access_kensei2_api_request_tasker,kensei2.api.request.tasker,model_kensei2_api_request,group_kensei2_tasker,1,0,0,0
access_kensei2_api_request_pl,kensei2.api.request.pl,model_kensei2_api_request,group_kensei2_pl,1,1,1,1
access_kensei2_test_result_tasker,kensei2.test.result.tasker,model_kensei2_test_result,group_kensei2_tasker,1,0,0,0
access_kensei2_test_result_ql,kensei2.test.result.ql,model_kensei2_test_result,group_kensei2_ql,1,0,0,0
access_kensei2_test_result_pl,kensei2.test.result.pl,model_kensei2_test_result,group_kensei2_pl,1,1,1,1
