id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_mm_task_tasker,mm.tasker.task.tasker,model_mm_tasker_task,group_mm_tasker,1,1,1,1
access_mm_task_qc,mm.tasker.task.qc,model_mm_tasker_task,group_mm_qc,1,1,0,0
access_mm_task_manager,mm.tasker.task.manager,model_mm_tasker_task,group_mm_manager,1,1,1,1
access_mm_rubric_tasker,mm.tasker.rubric.tasker,model_mm_tasker_rubric,group_mm_tasker,1,1,1,1
access_mm_rubric_qc,mm.tasker.rubric.qc,model_mm_tasker_rubric,group_mm_qc,1,0,0,0
access_mm_rubric_manager,mm.tasker.rubric.manager,model_mm_tasker_rubric,group_mm_manager,1,1,1,1
access_mm_media_tasker,mm.tasker.media.tasker,model_mm_tasker_media,group_mm_tasker,1,1,1,1
access_mm_media_qc,mm.tasker.media.qc,model_mm_tasker_media,group_mm_qc,1,0,0,0
access_mm_media_manager,mm.tasker.media.manager,model_mm_tasker_media,group_mm_manager,1,1,1,1
access_mm_run_tasker,mm.tasker.run.tasker,model_mm_tasker_run,group_mm_tasker,1,1,1,0
access_mm_run_qc,mm.tasker.run.qc,model_mm_tasker_run,group_mm_qc,1,0,0,0
access_mm_run_manager,mm.tasker.run.manager,model_mm_tasker_run,group_mm_manager,1,1,1,1
access_mm_run_output_tasker,mm.tasker.run.output.tasker,model_mm_tasker_run_output,group_mm_tasker,1,1,1,0
access_mm_run_output_qc,mm.tasker.run.output.qc,model_mm_tasker_run_output,group_mm_qc,1,0,0,0
access_mm_run_output_manager,mm.tasker.run.output.manager,model_mm_tasker_run_output,group_mm_manager,1,1,1,1
access_mm_run_score_tasker,mm.tasker.run.score.tasker,model_mm_tasker_run_score,group_mm_tasker,1,1,1,0
access_mm_run_score_qc,mm.tasker.run.score.qc,model_mm_tasker_run_score,group_mm_qc,1,0,0,0
access_mm_run_score_manager,mm.tasker.run.score.manager,model_mm_tasker_run_score,group_mm_manager,1,1,1,1
access_mm_run_wizard_tasker,mm.tasker.run.wizard.tasker,model_mm_tasker_run_wizard,group_mm_tasker,1,1,1,1
access_mm_run_wizard_manager,mm.tasker.run.wizard.manager,model_mm_tasker_run_wizard,group_mm_manager,1,1,1,1
