id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hr_employee_designation,hr.employee.designation,model_hr_employee_designation,base.group_user,1,1,1,1
access_whatsapp_group_members,whatsapp.group.members,model_whatsapp_group_members,base.group_user,1,1,1,1
access_user_notification_category,user.notification.category,model_user_notification_category,,1,1,1,1
access_notification_category_line,notification.category.line,model_notification_category_line,,1,1,1,1
access_project_blocker,project.blocker,model_project_blocker,,1,1,1,1
access_base_project_task,base.project.task,model_base_project_task,,1,1,1,1
access_project_task_tags,project.task.tags,model_project_task_tags,,1,1,1,1
access_project_skills,project.skills,model_project_skills,,1,1,1,1
access_project_category,project.category,model_project_category,,1,1,1,1
access_project_ai_recommendation,project.ai.recommendation,model_project_ai_recommendation,,1,1,1,1
access_project_member_history,project.member.history,model_project_member_history,,1,1,1,1
access_rubric_category,rubric.category,model_rubric_category,,1,1,1,1
access_rubric_category_option,rubric.category.option,model_rubric_category_option,,1,1,1,1
access_rubric_dimension,rubric.dimension,model_rubric_dimension,,1,1,1,1
