id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_project_tracker_allocation_tasker,project.tracker.allocation.tasker,model_project_tracker_allocation,project_tracker.group_project_tracker_tasker,1,1,0,0
access_project_tracker_allocation_ql,project.tracker.allocation.ql,model_project_tracker_allocation,project_tracker.group_project_tracker_ql,1,1,1,1
access_project_tracker_allocation_pl,project.tracker.allocation.pl,model_project_tracker_allocation,project_tracker.group_project_tracker_pl,1,1,1,1
access_project_tracker_allocation_admin,project.tracker.allocation.admin,model_project_tracker_allocation,base.group_system,1,1,1,1
access_project_tracker_allocation_etp_tasker,project.tracker.allocation.etp.tasker,model_project_tracker_allocation,etp_user_roles.group_tasker,1,1,1,0
access_project_tracker_allocation_etp_hr,project.tracker.allocation.etp.hr,model_project_tracker_allocation,etp_user_roles.group_hr_admin,1,1,1,0
access_project_tracker_allocation_etp_it_admin,project.tracker.allocation.etp.it,model_project_tracker_allocation,etp_user_roles.group_it_admin,1,1,1,0
access_project_tracker_bulk_allocation_ql,project.tracker.bulk.allocation.ql,model_project_tracker_bulk_allocation,project_tracker.group_project_tracker_ql,1,1,1,1
access_project_tracker_bulk_allocation_admin,project.tracker.bulk.allocation.admin,model_project_tracker_bulk_allocation,base.group_system,1,1,1,1
access_project_tracker_bulk_allocation_line_ql,project.tracker.bulk.allocation.line.ql,model_project_tracker_bulk_allocation_line,project_tracker.group_project_tracker_ql,1,1,1,1
access_project_tracker_bulk_allocation_line_admin,project.tracker.bulk.allocation.line.admin,model_project_tracker_bulk_allocation_line,base.group_system,1,1,1,1
access_project_tracker_team_member_tasker,project.tracker.team.member.tasker,model_project_tracker_team_member,project_tracker.group_project_tracker_tasker,1,0,0,0
access_project_tracker_team_member_ql,project.tracker.team.member.ql,model_project_tracker_team_member,project_tracker.group_project_tracker_ql,1,1,1,1
access_project_tracker_team_member_pl,project.tracker.team.member.pl,model_project_tracker_team_member,project_tracker.group_project_tracker_pl,1,1,1,1
access_project_tracker_team_member_admin,project.tracker.team.member.admin,model_project_tracker_team_member,base.group_system,1,1,1,1
access_project_tracker_team_import_ql,project.tracker.team.import.ql,model_project_tracker_team_import,project_tracker.group_project_tracker_ql,1,1,1,1
access_project_tracker_team_import_pl,project.tracker.team.import.pl,model_project_tracker_team_import,project_tracker.group_project_tracker_pl,1,1,1,1
access_project_tracker_team_import_admin,project.tracker.team.import.admin,model_project_tracker_team_import,base.group_system,1,1,1,1
access_project_tracker_stage_handoff_ql,project.tracker.stage.handoff.ql,model_project_tracker_stage_handoff,project_tracker.group_project_tracker_ql,1,1,1,1
access_project_tracker_stage_handoff_pl,project.tracker.stage.handoff.pl,model_project_tracker_stage_handoff,project_tracker.group_project_tracker_pl,1,1,1,1
access_project_tracker_stage_handoff_admin,project.tracker.stage.handoff.admin,model_project_tracker_stage_handoff,base.group_system,1,1,1,1
access_project_tracker_persona_import_ql,project.tracker.persona.import.ql,model_project_tracker_persona_import,project_tracker.group_project_tracker_ql,1,1,1,1
access_project_tracker_persona_import_pl,project.tracker.persona.import.pl,model_project_tracker_persona_import,project_tracker.group_project_tracker_pl,1,1,1,1
access_project_tracker_persona_import_admin,project.tracker.persona.import.admin,model_project_tracker_persona_import,base.group_system,1,1,1,1
access_project_tracker_project_tasker,project.tracker.project.tasker,model_project_tracker_project,project_tracker.group_project_tracker_tasker,1,0,0,0
access_project_tracker_project_ql,project.tracker.project.ql,model_project_tracker_project,project_tracker.group_project_tracker_ql,1,1,1,1
access_project_tracker_project_pl,project.tracker.project.pl,model_project_tracker_project,project_tracker.group_project_tracker_pl,1,1,1,1
access_project_tracker_project_admin,project.tracker.project.admin,model_project_tracker_project,base.group_system,1,1,1,1
access_project_tracker_project_etp_tasker,project.tracker.project.etp.tasker,model_project_tracker_project,etp_user_roles.group_tasker,1,0,0,0
access_kensei2_persona_kt_tasker,kensei2.persona.kt.tasker,kensei2.model_kensei2_persona,project_tracker.group_project_tracker_tasker,1,0,0,0
access_kensei2_persona_kt_ql,kensei2.persona.kt.ql,kensei2.model_kensei2_persona,project_tracker.group_project_tracker_ql,1,1,1,1
access_kensei2_persona_kt_pl,kensei2.persona.kt.pl,kensei2.model_kensei2_persona,project_tracker.group_project_tracker_pl,1,1,1,1
