id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_skoll_skoll_tasker,skoll.skoll.tasker,model_skoll_skoll,group_skoll_tasker,1,1,1,1
access_skoll_skoll_ql,skoll.skoll.ql,model_skoll_skoll,group_skoll_ql,1,1,1,1
access_skoll_skoll_pl,skoll.skoll.pl,model_skoll_skoll,group_skoll_pl,1,1,1,1
access_skoll_persona_tasker,skoll.persona.tasker,model_skoll_persona,group_skoll_tasker,1,0,0,0
access_skoll_persona_ql,skoll.persona.ql,model_skoll_persona,group_skoll_ql,1,1,1,1
access_skoll_persona_pl,skoll.persona.pl,model_skoll_persona,group_skoll_pl,1,1,1,1
access_skoll_generation_tasker,skoll.generation.tasker,model_skoll_generation,group_skoll_tasker,1,0,0,0
access_skoll_generation_ql,skoll.generation.ql,model_skoll_generation,group_skoll_ql,1,0,0,0
access_skoll_generation_pl,skoll.generation.pl,model_skoll_generation,group_skoll_pl,1,1,1,1
access_skoll_tag_life_domain_tasker,skoll.tag.life_domain.tasker,model_skoll_tag_life_domain,group_skoll_tasker,1,0,0,0
access_skoll_tag_life_domain_pl,skoll.tag.life_domain.pl,model_skoll_tag_life_domain,group_skoll_pl,1,1,1,1
access_skoll_tag_cluster_tasker,skoll.tag.cluster.tasker,model_skoll_tag_cluster,group_skoll_tasker,1,0,0,0
access_skoll_tag_cluster_pl,skoll.tag.cluster.pl,model_skoll_tag_cluster,group_skoll_pl,1,1,1,1
access_skoll_tag_task_type_tasker,skoll.tag.task_type.tasker,model_skoll_tag_task_type,group_skoll_tasker,1,0,0,0
access_skoll_tag_task_type_pl,skoll.tag.task_type.pl,model_skoll_tag_task_type,group_skoll_pl,1,1,1,1
access_skoll_tag_pattern_taxonomy_tasker,skoll.tag.pattern_taxonomy.tasker,model_skoll_tag_pattern_taxonomy,group_skoll_tasker,1,0,0,0
access_skoll_tag_pattern_taxonomy_pl,skoll.tag.pattern_taxonomy.pl,model_skoll_tag_pattern_taxonomy,group_skoll_pl,1,1,1,1
