id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_skoll_skoll_tasker,skoll.skoll.tasker,model_skoll_skoll,etp_user_roles.group_tasker,1,1,1,1
access_skoll_turn_tasker,skoll.turn.tasker,model_skoll_turn,etp_user_roles.group_tasker,1,1,1,1
access_skoll_sandbox_tasker,skoll.sandbox.tasker,model_skoll_sandbox,etp_user_roles.group_tasker,1,1,1,1
access_skoll_persona_tasker,skoll.persona.tasker,model_skoll_persona,etp_user_roles.group_tasker,1,0,0,0
access_skoll_taxonomy_tasker,skoll.taxonomy.tasker,model_skoll_taxonomy,etp_user_roles.group_tasker,1,0,0,0
access_skoll_domain_tasker,skoll.domain.tasker,model_skoll_domain,etp_user_roles.group_tasker,1,0,0,0
access_skoll_persona_ql,skoll.persona.ql,model_skoll_persona,etp_user_roles.group_quality_lead,1,1,1,1
access_skoll_taxonomy_ql,skoll.taxonomy.ql,model_skoll_taxonomy,etp_user_roles.group_quality_lead,1,1,1,1
access_skoll_domain_ql,skoll.domain.ql,model_skoll_domain,etp_user_roles.group_quality_lead,1,1,1,1
access_skoll_skoll_admin,skoll.skoll.admin,model_skoll_skoll,group_skoll_admin,1,1,1,1
access_skoll_turn_admin,skoll.turn.admin,model_skoll_turn,group_skoll_admin,1,1,1,1
access_skoll_sandbox_admin,skoll.sandbox.admin,model_skoll_sandbox,group_skoll_admin,1,1,1,1
access_skoll_persona_admin,skoll.persona.admin,model_skoll_persona,group_skoll_admin,1,1,1,1
access_skoll_taxonomy_admin,skoll.taxonomy.admin,model_skoll_taxonomy,group_skoll_admin,1,1,1,1
access_skoll_domain_admin,skoll.domain.admin,model_skoll_domain,group_skoll_admin,1,1,1,1
access_skoll_generation_tasker,skoll.generation.tasker,model_skoll_generation,etp_user_roles.group_tasker,1,0,0,0
access_skoll_generation_ql,skoll.generation.ql,model_skoll_generation,etp_user_roles.group_quality_lead,1,0,0,0
access_skoll_generation_admin,skoll.generation.admin,model_skoll_generation,group_skoll_admin,1,1,1,1
