id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_skoll_wildclaw_task_tasker,skoll_wildclaw.task tasker,model_skoll_wildclaw_task,wildclaw_core.group_wildclaw_tasker,1,1,1,0
access_skoll_wildclaw_task_ql,skoll_wildclaw.task ql,model_skoll_wildclaw_task,wildclaw_core.group_wildclaw_ql,1,1,1,1
access_skoll_wildclaw_task_pl,skoll_wildclaw.task pl,model_skoll_wildclaw_task,wildclaw_core.group_wildclaw_pl,1,1,1,1
access_skoll_wildclaw_sandbox_tasker,skoll_wildclaw.sandbox tasker,model_skoll_wildclaw_sandbox,wildclaw_core.group_wildclaw_tasker,1,1,1,0
access_skoll_wildclaw_sandbox_ql,skoll_wildclaw.sandbox ql,model_skoll_wildclaw_sandbox,wildclaw_core.group_wildclaw_ql,1,1,1,1
access_skoll_wildclaw_sandbox_pl,skoll_wildclaw.sandbox pl,model_skoll_wildclaw_sandbox,wildclaw_core.group_wildclaw_pl,1,1,1,1
access_skoll_wildclaw_life_domain_all,skoll_wildclaw.life_domain all,model_skoll_wildclaw_life_domain,wildclaw_core.group_wildclaw_tasker,1,1,1,1
access_skoll_wildclaw_cluster_tag_all,skoll_wildclaw.cluster_tag all,model_skoll_wildclaw_cluster_tag,wildclaw_core.group_wildclaw_tasker,1,1,1,1
access_skoll_wildclaw_task_type_tag_all,skoll_wildclaw.task_type_tag all,model_skoll_wildclaw_task_type_tag,wildclaw_core.group_wildclaw_tasker,1,1,1,1
access_skoll_wildclaw_pattern_taxonomy_all,skoll_wildclaw.pattern_taxonomy all,model_skoll_wildclaw_pattern_taxonomy,wildclaw_core.group_wildclaw_tasker,1,1,1,1
access_skoll_wildclaw_generation_tasker,skoll_wildclaw.generation tasker,model_skoll_wildclaw_generation,wildclaw_core.group_wildclaw_tasker,1,0,1,0
access_skoll_wildclaw_generation_ql,skoll_wildclaw.generation ql,model_skoll_wildclaw_generation,wildclaw_core.group_wildclaw_ql,1,1,1,1
access_skoll_wildclaw_turn_tasker,skoll_wildclaw.turn tasker,model_skoll_wildclaw_turn,wildclaw_core.group_wildclaw_tasker,1,1,1,0
access_skoll_wildclaw_turn_ql,skoll_wildclaw.turn ql,model_skoll_wildclaw_turn,wildclaw_core.group_wildclaw_ql,1,1,1,1
access_skoll_wildclaw_turn_pl,skoll_wildclaw.turn pl,model_skoll_wildclaw_turn,wildclaw_core.group_wildclaw_pl,1,1,1,1
