id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_tf_log_tasker,task.forge.log.tasker,model_task_forge_log,etp_user_roles.group_tasker,1,1,1,0
access_tf_log_qr,task.forge.log.qr,model_task_forge_log,etp_user_roles.group_quality_reviewer,1,1,1,0
access_tf_log_pl,task.forge.log.pl,model_task_forge_log,etp_user_roles.group_project_lead,1,1,1,1
access_tf_log_admin,task.forge.log.admin,model_task_forge_log,etp_user_roles.group_cto,1,1,1,1
access_tf_blocker_tasker,task.forge.blocker.tasker,model_task_forge_blocker,etp_user_roles.group_tasker,1,0,1,0
access_tf_blocker_qr,task.forge.blocker.qr,model_task_forge_blocker,etp_user_roles.group_quality_reviewer,1,1,0,0
access_tf_blocker_pl,task.forge.blocker.pl,model_task_forge_blocker,etp_user_roles.group_project_lead,1,1,0,0
access_tf_blocker_admin,task.forge.blocker.admin,model_task_forge_blocker,etp_user_roles.group_cto,1,1,1,1
access_tf_vbug_qr,task.forge.validated.bug.qr,model_task_forge_validated_bug,etp_user_roles.group_quality_reviewer,1,0,0,0
access_tf_vbug_pl,task.forge.validated.bug.pl,model_task_forge_validated_bug,etp_user_roles.group_project_lead,1,1,1,0
access_tf_vbug_admin,task.forge.validated.bug.admin,model_task_forge_validated_bug,etp_user_roles.group_cto,1,1,1,1
access_tf_bugreport_tasker,task.forge.bug.report.tasker,model_task_forge_bug_report,etp_user_roles.group_tasker,1,1,1,1
access_tf_bugreport_qr,task.forge.bug.report.qr,model_task_forge_bug_report,etp_user_roles.group_quality_reviewer,1,1,0,0
access_tf_bugreport_pl,task.forge.bug.report.pl,model_task_forge_bug_report,etp_user_roles.group_project_lead,1,1,0,1
access_tf_bugreport_admin,task.forge.bug.report.admin,model_task_forge_bug_report,etp_user_roles.group_cto,1,1,1,1
access_tf_flag_pl,task.forge.flag.pl,model_task_forge_flag,etp_user_roles.group_project_lead,1,1,1,1
access_tf_flag_admin,task.forge.flag.admin,model_task_forge_flag,etp_user_roles.group_cto,1,1,1,1
access_tf_file_tasker,task.forge.file.tasker,model_task_forge_file,etp_user_roles.group_tasker,1,0,1,0
access_tf_file_admin,task.forge.file.admin,model_task_forge_file,etp_user_roles.group_cto,1,1,1,1
