id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_wiki_faq_user,wiki.faq.user,model_wiki_faq,base.group_user,1,0,0,0
access_wiki_document_page_user,wiki.document.page.user,model_wiki_document_page,base.group_user,1,0,0,0
access_wiki_category_user,wiki.category.user,model_wiki_category,base.group_user,1,0,0,0
access_wiki_update_user,wiki.update.user,model_wiki_update,base.group_user,1,0,0,0
access_wiki_training_group_user,wiki.training.group.user,model_wiki_training_group,base.group_user,1,0,0,0
access_wiki_training_doc_user,wiki.training.doc.user,model_wiki_training_doc,base.group_user,1,0,0,0
access_wiki_grievance_user,wiki.grievance.user,model_wiki_grievance,base.group_user,0,0,0,0
access_wiki_faq_admin,wiki.faq.admin,model_wiki_faq,base.group_system,1,1,1,1
access_wiki_document_page_admin,wiki.document.page.admin,model_wiki_document_page,base.group_system,1,1,1,1
access_wiki_category_admin,wiki.category.admin,model_wiki_category,base.group_system,1,1,1,1
access_wiki_update_admin,wiki.update.admin,model_wiki_update,base.group_system,1,1,1,1
access_wiki_training_group_admin,wiki.training.group.admin,model_wiki_training_group,base.group_system,1,1,1,1
access_wiki_training_doc_admin,wiki.training.doc.admin,model_wiki_training_doc,base.group_system,1,1,1,1
access_wiki_grievance_admin,wiki.grievance.admin,model_wiki_grievance,base.group_system,1,1,1,1
access_wiki_article_user,wiki.article.user,model_wiki_article,base.group_user,1,0,0,0
access_wiki_article_section_user,wiki.article.section.user,model_wiki_article_section,base.group_user,1,0,0,0
access_wiki_article_admin,wiki.article.admin,model_wiki_article,base.group_system,1,1,1,1
access_wiki_article_section_admin,wiki.article.section.admin,model_wiki_article_section,base.group_system,1,1,1,1
access_wiki_process_flow_user,wiki.process.flow.user,model_wiki_process_flow,base.group_user,1,0,0,0
access_wiki_process_stage_user,wiki.process.stage.user,model_wiki_process_stage,base.group_user,1,0,0,0
access_wiki_process_flow_admin,wiki.process.flow.admin,model_wiki_process_flow,base.group_system,1,1,1,1
access_wiki_process_stage_admin,wiki.process.stage.admin,model_wiki_process_stage,base.group_system,1,1,1,1
access_wiki_training_progress_user,wiki.training.progress.user,model_wiki_training_progress,base.group_user,1,0,0,0
access_wiki_training_progress_admin,wiki.training.progress.admin,model_wiki_training_progress,base.group_system,1,1,1,1
access_wiki_feedback_user,wiki.feedback.user,model_wiki_feedback,base.group_user,0,0,0,0
access_wiki_feedback_admin,wiki.feedback.admin,model_wiki_feedback,base.group_system,1,1,1,1
