id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_workflow_floor_user,workflow.floor.user,model_workflow_floor,workflow_management.group_user,1,0,0,0
access_workflow_floor_manager,workflow.floor.manager,model_workflow_floor,workflow_management.group_manager,1,0,0,0
access_workflow_floor_admin,workflow.floor.admin,model_workflow_floor,workflow_management.group_admin,1,1,1,1
access_workflow_seat_user,workflow.seat.user,model_workflow_seat,workflow_management.group_user,1,0,0,0
access_workflow_seat_manager,workflow.seat.manager,model_workflow_seat,workflow_management.group_manager,1,1,0,0
access_workflow_seat_admin,workflow.seat.admin,model_workflow_seat,workflow_management.group_admin,1,1,1,1
access_workflow_seat_history_user,workflow.seat.history.user,model_workflow_seat_history,workflow_management.group_user,1,0,0,0
access_workflow_seat_history_admin,workflow.seat.history.admin,model_workflow_seat_history,workflow_management.group_admin,1,1,1,1
access_workflow_room_booking_user,workflow.room.booking.user,model_workflow_room_booking,workflow_management.group_user,1,1,1,0
access_workflow_room_booking_manager,workflow.room.booking.manager,model_workflow_room_booking,workflow_management.group_manager,1,1,1,1
access_workflow_room_booking_admin,workflow.room.booking.admin,model_workflow_room_booking,workflow_management.group_admin,1,1,1,1
access_workflow_seat_transfer_user,workflow.seat.transfer.user,model_workflow_seat_transfer,workflow_management.group_user,1,1,1,0
access_workflow_seat_transfer_manager,workflow.seat.transfer.manager,model_workflow_seat_transfer,workflow_management.group_manager,1,1,1,0
access_workflow_seat_transfer_admin,workflow.seat.transfer.admin,model_workflow_seat_transfer,workflow_management.group_admin,1,1,1,1
access_workflow_audit_log_user,workflow.audit.log.user,model_workflow_audit_log,workflow_management.group_user,1,0,0,0
access_workflow_audit_log_admin,workflow.audit.log.admin,model_workflow_audit_log,workflow_management.group_admin,1,1,1,1
access_workflow_attendance_sync_admin,workflow.attendance.sync.admin,model_workflow_attendance_sync,workflow_management.group_admin,1,1,1,1
